id	description	description_en	description_zh-CN	description_zh-TW	popup_text	popup_text_en	popup_text_zh-CN	popup_text_zh-TW
4000012	味方全員に、2回被弾するまで物理攻撃スキルダメージ-10%	Reduces all allies' physical skill damage by 10% for 2 attacks.	使我方全体物理攻击技能伤害-10%，受到2次攻击后失效。	我方全體物理攻擊技能傷害-10%，直到被擊中2次為止。				
4000013	味方全員に、2回被弾するまで魔法攻撃スキルダメージ-10%	Reduces all allies' magic skill damage by 10% for 2 attacks.	使我方全体魔法攻击技能伤害-10%，受到2次攻击后失效。	對我方全體的魔法攻擊技能傷害-10%，直到被擊中2次為止。				
4000014	味方全員に、2回攻撃するまでクリティカル確率+10%	All allies gain critical rate +10% for 2 attacks.	使我方全体暴击率+10%，发动2次攻击后失效。	使我方全體重擊率+10%，直到攻擊2次為止。				
4000015	最大HPが最も高い敵1体に、2回被弾するまで物攻と物防-15%	Reduces physical attack and defense of the enemy with the highest max HP by 15% until they have been attacked 2 times.	使HP上限最高的1名敌人物攻和物防-15%，2次受击后失效。	HP最大值最高的1位敵方物攻和物防-15%，直到被擊中2次為止。				
4000016	最大HPが最も高い敵1体に、2回被弾するまで物攻と物防-10%	Reduces physical attack and defense on the enemy with the highest max HP by 10% until they have been attacked 2 times.	使HP上限最高的1名敌人物攻和物防-10%，2次受击后失效。	使HP最大值最高的1名敵人物攻和物防-10%，直到被擊中2次為止。				
4000017	敵全体に、2回被弾するまでブレイクダメージ+30%	Boosts stun damage to all enemies by 30% for 2 attacks.	使敌方全体破防伤害+30%，2次受击后失效。	敵方全體破防傷害+30%，直到被擊中2次為止。				
4000030	最大HPが最も高い味方1人に、2回までターン開始時HPX%回復	Restores X% HP to the ally with the highest max HP at the start of their turn for 2 turns.	使HP上限最高的1名我方回合开始时HP恢复X%，2次有效。	回合開始時，我方HP最大值最高的1人回復HPX%，最多2次。				
4000031	最大HPが最も高い敵1体に、2回被弾するまで斬属性耐性-25%	Reduces Slash resistance of the enemy with the highest max HP by 25% for 2 attacks.	使HP上限最高的1名敌人斩击属性耐性-25%，2次受击后失效。	HP最大值最高的1位敵方斬屬性耐性-25%，直到被擊中2次為止。				
4000032	最大HPが最も高い敵1体に、2回被弾するまで火属性耐性-15%	Reduces Fire resistance on the enemy with the highest max HP by 15%, until they are attacked 2 times.	使HP上限最高的1名敌人火属性耐性-15%，2次受击后失效。	使HP最大值最高的1名敵人火屬性耐性-15%，直到被擊中2次為止。				
4000033	魔攻が最も高い味方1人に、2回行動するまでバーストスキルダメージ+X%	Boosts burst skill damage by X% for 2 turns for the ally with the highest M. ATK.	使魔攻最高的1名我方爆发技能伤害+X%，2次行动后失效。	我方魔攻最高的1人爆發技能傷害+X%，直到行動2次為止。				
4000034	味方全員に、2回攻撃するまでクリティカル確率+25%	All allies gain critical rate +25% for 2 attacks.	使我方全体暴击率+25%，发动2次攻击后失效。	使我方全體重擊率+25%，直到攻擊2次為止。				
4000035	味方全員に、2回攻撃するまで物理攻撃スキルダメージ+25%	Boosts all allies' physical skill damage by 25% for 2 attacks.	使我方全体物理攻击技能伤害+25%，发动2次攻击后失效。	我方全體物理攻擊技能傷害+25%，直到攻擊2次為止。				
4000036	味方全員に、2回攻撃するまで魔法攻撃スキルダメージ+25%	Boosts all allies' magic skill damage by 25% for 2 attacks.	使我方全体魔法攻击技能伤害+25%，发动2次攻击后失效。	對我方全體的魔法攻擊技能傷害+25%，直到被擊中2次為止。				
4000037	最大HPが最も高い敵1体に、2回被弾するまで打属性耐性-15%	Reduces Strike resistance of the enemy with the highest max HP by 15% for 2 attacks.	使HP上限最高的1名敌人打属性耐性-15%，2次受击后失效。	HP最大值最高的1位敵方打屬性耐性-15%，直到被擊中2次為止。				
4000038	最大HPが最も高い敵1体に、2回被弾するまで突属性耐性-25%	Reduces Stab resistance of the enemy with the highest max HP by 25% for 2 attacks.	使HP上限最高的1名敌人突刺属性耐性-25%，2次受击后失效。	HP最大值最高的1位敵方突屬性耐性-25%，直到被擊中2次為止。				
4000039	最大HPが最も高い敵1体に、2回被弾するまで風属性耐性-15%	Reduces Air resistance on the enemy with the highest max HP by 15%, until they are attacked 2 times.	使HP上限最高的1名敌人风属性耐性-15%，2次受击后失效。	HP最大值最高的1位敵方風屬性耐性-15%，直到被擊中2次為止。				
4000040	最大HPが最も高い敵1体に、2回被弾するまで氷属性耐性-25%	Reduces Ice resistance of the enemy with the highest max HP by 25% for 2 attacks.	使HP上限最高的1名敌人冰属性耐性-25%，受到2次攻击后失效。	HP最大值最高的1位敵方冰屬性耐性-25%，直到被擊中2次為止。				
4000041	最大HPが最も高い敵1体に、2回被弾するまで雷属性耐性-25%	Reduces Bolt resistance of the enemy with the highest max HP by 25% for 2 attacks.	使HP上限最高的1名敌人雷属性耐性-25%，2次受击后失效。	使HP最大值最高的1名敵人雷屬性耐性-25%，直到被擊中2次為止。				
4000042	物攻が最も高い味方1人に、2回攻撃するまで斬属性スキルダメージ+15%	Boosts Slash skill damage of the ally with the highest P. ATK by 15% for 2 attacks.	使物攻最高的1名我方斩击属性技能伤害+15%，发动2次攻击后失效。	我方物攻最高的1人斬屬性技能傷害+15%，直到攻擊2次為止。				
4000043	物攻が最も高い味方1人に、2回攻撃するまで打属性スキルダメージ+25%	Boosts Strike skill damage of the ally with the highest physical attack by 25% for 2 attacks.	使物攻最高的1名我方打击属性技能伤害+25%，2次攻击后失效。	我方物攻最高的1人打屬性技能傷害+25%，直到攻擊2次為止。				
4000044	物攻が最も高い味方1人に、2回攻撃するまで突属性スキルダメージ+25%	Boosts Stab skill damage of the ally with the highest P. ATK by 25% for 2 attacks.	使物攻最高的1名我方突刺属性技能伤害+25%，发动2次攻击后失效。	我方物攻最高的1人突屬性技能傷害+25%，直到攻擊2次為止。				
4000045	魔攻が最も高い味方1人に、2回攻撃するまで風属性スキルダメージ+25%	Boosts Air skill damage of the ally with the highest M. ATK by 25% for 2 attacks.	使魔攻最高的1名我方风属性技能伤害+25%，2次攻击后失效。	我方魔攻最高的1人風屬性技能傷害+25%，直到攻擊2次為止。				
4000046	魔攻が最も高い味方1人に、2回攻撃するまで氷属性スキルダメージ+25%	Boosts Ice skill damage of the ally with the highest M. ATK by 25% for 2 attacks.	使魔攻最高的1名我方冰属性技能伤害+25%，发动2次攻击后失效。	我方魔攻最高的1人冰屬性技能傷害+25%，直到攻擊2次為止。				
4000047	魔攻が最も高い味方1人に、2回攻撃するまで雷属性スキルダメージ+25%	Boosts Bolt skill damage of the ally with the highest M. ATK by 25% for 2 attacks.	使魔攻最高的1名我方雷属性技能伤害+25%，发动2次攻击后失效。	我方魔攻最高的1人雷屬性技能傷害+25%，直到攻擊2次為止。				
4000048	魔攻が最も高い味方1人に、2回攻撃するまで火属性スキルダメージ+25%	Boosts Fire skill damage of the ally with the highest M. ATK by 25% for 2 attacks.	使魔攻最高的1名我方火属性技能伤害+25%，发动2次攻击后失效。	我方魔攻最高的1人火屬性技能傷害+25%，直到攻擊2次為止。				
4000055	味方全員のHPをX%回復	Recovers X% HP for all allies.	恢复我方全体X%的HP。	回復我方全體HPX%。				
4000172	現在HPが最も低い味方1人のHPをX%回復	Restores X% HP to the ally with the lowest current HP.	当前HP最低的1名我方HP恢复X%。	對目前我方HP最低的1人回復HPX%。				
4000173	状態異常を解除する	Removes status effects.	解除异常状态。	解除異常狀態。				
4000174	味方全員に「自身がアタッカーの時、スキルダメージアップ」を2回行動終了するまで付与	Boosts all Attacker allies' skill damage for 2 turns.	赋予我方全体“自身为攻击者时，技能伤害提升”，2次行动结束后失效。	賦予我方全體「自身為攻擊者時，技能傷害上升」，直到行動結束2次為止。				
4000175	マイナス効果を解除する	Removes negative effects.	解除负面效果。	解除減弱效果。				
4000176	対象に「麻痺」を2回行動開始するまで中確率で付与	Has a moderate chance to inflict Paralysis on the target for 2 turns.	中概率赋予目标“麻痹”，回合开始2次后失效。	中機率賦予目標「麻痺」，直到行動開始2次為止。				
4000177	味方全員に「自身がブレイカーの時、ブレイクダメージアップ」を2回行動終了するまで付与	Boosts all Breaker allies' stun damage for 2 turns.	赋予我方全体“自身为破坏者时，破防伤害提升”，2次行动结束后失效。	賦予我方全體「自身為破壞者時，破防傷害上升」，直到行動結束2次為止。				
4000282	最大HPが最も高い味方1人に「受けるダメージダウン」を2回行動するまで付与	Reduces damage received by the ally with the highest max HP for 2 turns.	赋予HP上限最高的1名我方“所受伤害下降”，2次行动后失效。	賦予我方HP最大值最高的1人「所受傷害下降」，直到行動2次為止。				
4000283	回復後、「ターン開始時HP回復」を2回行動開始するまで付与	After recovery, restores HP at the start of the turn for 2 turns.	恢复后，赋予“回合开始时恢复HP”，回合开始2次后失效。	回復後，賦予「回合開始時回復HP」，直到行動開始2次為止。				
4000284	味方全員に「自身がサポーターの時、スキルダメージアップ」を2回行動するまで付与	Boosts all Supporter allies' skill damage for 2 turns.	赋予我方全体“自身为支援者时，技能伤害提升”，2次行动后失效。	賦予我方全體「自身為支援者時，技能傷害上升」，直到行動2次為止。				
4000285	対象に「麻痺」を2回行動開始するまで低確率で付与	Has a low chance to inflict Paralysis on the target for 2 turns.	低概率赋予目标“麻痹”，回合开始2次后失效。	低機率賦予目標「麻痺」，直到行動開始2次為止。				
6000018	物理ダメージアップ	Boosts physical damage by 6%.	物理伤害上升6%。	物理傷害上升6%。				
6000019	魔法ダメージアップ	Boosts magic damage by 6%.	魔法伤害上升6%。	魔法傷害上升6%。				
6000020	物理攻撃から受けるダメージダウン	Reduces damage received from physical attacks by 3%.	来自物理攻击的伤害-3%。	所受物理攻擊傷害-3%。				
6000021	魔法攻撃ブレイクダメージアップ	Boosts magic stun damage by 6%.	魔法攻击的破防伤害上升6%。	魔法攻擊的破防傷害上升6%。				
6000022	物理攻撃ブレイクダメージアップ	Boosts physical stun damage by 6%.	物理攻击的破防伤害上升6%。	物理攻擊的破防傷害上升6%。				
6000023	魔法攻撃から受けるダメージダウン	Reduces damage received from magic attacks by 3%.	来自魔法攻击的伤害-3%。	所受魔法攻擊傷害-3%。				
6000024	与えるマイナス効果量+7%	Boosts potency of negative effects inflicted by 7%.	给予的负面效果量+7%。	賦予減弱效果量+7%。				
6000025	与える強化効果量+7%	Boosts potency of buff effects given by 7%.	给予的强化效果量+7%。	賦予強化效果量+7%。				
6000026	単体物理攻撃から受けるダメージダウン	Reduces damage received from single-target physical attacks by 5%.	来自单体物理攻击的伤害-5%。	所受單體物理攻擊傷害-5%。				
6000027	与えるHP回復量アップ	Boosts HP recovery given by 2%.	给予的HP恢复量+2%。	賦予HP回復量+2%。				
6000028	受けるHP回復量アップ	Boosts HP recovery received by 3%.	所受HP恢复量+3%。	所受HP回復量+3%。				
6000029	全体攻撃から受けるダメージダウン	Reduces damage received from attacks that hit all allies by 6%.	来自全体攻击的伤害-6%。	所受全體攻擊傷害-6%。				
6000056	自身がアタッカーの時、受けるダメージ-4%	While equipped to an Attacker, reduces damage received by 4%.	自身为攻击者时，所受伤害-4%。	自身為攻擊者時，所受傷害-4%。				
6000057	自身がアタッカーの時、受けるダメージ-3%	While equipped to an Attacker, reduces damage received by 3%.	自身为攻击者时，所受伤害-3%。	自身為攻擊者時，所受傷害-3%。				
